month_from_start,prediction
0,0.22688134014606476
1,0.22866451740264893
2,0.22916008532047272
3,0.22645562887191772
4,0.23088552057743073
5,0.22769778966903687
6,0.229469895362854
7,0.22739775478839874
8,0.22614578902721405
9,0.22696398198604584
10,0.22748994827270508
11,0.22867172956466675
12,0.22840872406959534
13,0.22685082256793976
14,0.22788619995117188
15,0.2300986349582672
16,0.23178985714912415
17,0.22743190824985504
18,0.2272835224866867
19,0.22419796884059906
20,0.2278500348329544
21,0.23096396028995514
22,0.2297786921262741
23,0.23042528331279755
24,0.229216530919075
25,0.22844204306602478
26,0.22631677985191345
27,0.22862353920936584
28,0.22896124422550201
29,0.23137664794921875
30,0.22988086938858032
31,0.23150645196437836
32,0.23007932305335999
33,0.2289929986000061
34,0.2255055457353592
35,0.23129624128341675
36,0.22940927743911743
37,0.2286737710237503
38,0.22805778682231903
39,0.22680681943893433
40,0.23053069412708282
41,0.22901245951652527
42,0.2283623069524765
43,0.22884924709796906
44,0.22961878776550293
45,0.229460209608078
46,0.22783435881137848
47,0.2294970154762268
48,0.23048432171344757
49,0.22822369635105133
50,0.23125635087490082
51,0.22882898151874542
52,0.22535336017608643
53,0.2298581600189209
54,0.2289658933877945
55,0.23047374188899994
56,0.22697998583316803
57,0.22712412476539612
58,0.23043310642242432
59,0.22500474750995636
